ridership,route_id,route_name,route_type,service_period,day
150,103,103-MANCHACA FLYER,Limited/Flyer,Fall 2012,weekday
171,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2013,weekday
169,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2013,weekday
165,103,103-MANCHACA FLYER,Limited/Flyer,Fall 2013,weekday
141,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2014,weekday
133,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2014,weekday
70,103,103-MANCHACA FLYER,Limited/Flyer,Fall 2014,weekday
56,103,103-MANCHACA FLYER,Limited/Flyer,Spring 2015,weekday
53,103,103-MANCHACA FLYER,Limited/Flyer,Summer 2015,weekday
89,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2012,weekday
87,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2012,weekday
113,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Fall 2012,weekday
115,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2013,weekday
108,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2013,weekday
89,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Fall 2013,weekday
101,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2014,weekday
91,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2014,weekday
79,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Fall 2014,weekday
63,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Spring 2015,weekday
62,110,110-SOUTH CENTRAL FLYER,Limited/Flyer,Summer 2015,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2012,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2012,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Fall 2012,weekday
,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2013,weekday
64.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2013,weekday
66.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Fall 2013,weekday
72.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2014,weekday
73.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2014,weekday
76.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Fall 2014,weekday
62.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Spring 2015,weekday
59.0,111,111-SOUTH MOPAC FLYER,Limited/Flyer,Summer 2015,weekday
21,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2012,weekday
15,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2012,weekday
16,122,122-FOUR POINTS LIMITED,Limited/Flyer,Fall 2012,weekday
16,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2013,weekday
16,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2013,weekday
19,122,122-FOUR POINTS LIMITED,Limited/Flyer,Fall 2013,weekday
25,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2014,weekday
23,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2014,weekday
18,122,122-FOUR POINTS LIMITED,Limited/Flyer,Fall 2014,weekday
16,122,122-FOUR POINTS LIMITED,Limited/Flyer,Spring 2015,weekday
13,122,122-FOUR POINTS LIMITED,Limited/Flyer,Summer 2015,weekday
32,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Spring 2012,weekday
36,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Summer 2012,weekday
57,127,127-DOVE SPRINGS FLYER,Limited/Flyer,Fall 2012,weekday
