ridership,route_id,route_name,route_type,service_period,day
18.1,19,19-BULL CREEK,Local,Summer 2012,weekday
19.5,19,19-BULL CREEK,Local,Fall 2012,weekday
17.3,19,19-BULL CREEK,Local,Spring 2013,weekday
15.9,19,19-BULL CREEK,Local,Summer 2013,weekday
19.9,19,19-BULL CREEK,Local,Fall 2013,weekday
15.8,19,19-BULL CREEK,Local,Spring 2014,weekday
16.8,19,19-BULL CREEK,Local,Summer 2014,weekday
18.8,19,19-BULL CREEK,Local,Fall 2014,weekday
15.8,19,19-BULL CREEK,Local,Spring 2015,weekday
15.7,19,19-BULL CREEK,Local,Summer 2015,weekday
37.0,20,20-MANOR RD/RIVERSIDE,Local,Spring 2012,weekday
36.1,20,20-MANOR RD/RIVERSIDE,Local,Summer 2012,weekday
40.9,20,20-MANOR RD/RIVERSIDE,Local,Fall 2012,weekday
37.8,20,20-MANOR RD/RIVERSIDE,Local,Spring 2013,weekday
35.1,20,20-MANOR RD/RIVERSIDE,Local,Summer 2013,weekday
34.5,20,20-MANOR RD/RIVERSIDE,Local,Fall 2013,weekday
32.2,20,20-MANOR RD/RIVERSIDE,Local,Spring 2014,weekday
33.4,20,20-MANOR RD/RIVERSIDE,Local,Summer 2014,weekday
34.0,20,20-MANOR RD/RIVERSIDE,Local,Fall 2014,weekday
30.9,20,20-MANOR RD/RIVERSIDE,Local,Spring 2015,weekday
27.3,20,20-MANOR RD/RIVERSIDE,Local,Summer 2015,weekday
18.9,21,21-EXPOSITION,Local,Spring 2012,weekday
17.9,21,21-EXPOSITION,Local,Summer 2012,weekday
20.9,21,21-EXPOSITION,Local,Fall 2012,weekday
17.5,21,21-EXPOSITION,Local,Spring 2013,weekday
17.1,21,21-EXPOSITION,Local,Summer 2013,weekday
18.2,21,21-EXPOSITION,Local,Fall 2013,weekday
17.9,21,21-EXPOSITION,Local,Spring 2014,weekday
16.6,21,21-EXPOSITION,Local,Summer 2014,weekday
17.1,21,21-EXPOSITION,Local,Fall 2014,weekday
15.4,21,21-EXPOSITION,Local,Spring 2015,weekday
14.5,21,21-EXPOSITION,Local,Summer 2015,weekday
18.2,22,22-CHICON,Local,Spring 2012,weekday
16.2,22,22-CHICON,Local,Summer 2012,weekday
19.5,22,22-CHICON,Local,Fall 2012,weekday
17.9,22,22-CHICON,Local,Spring 2013,weekday
16.5,22,22-CHICON,Local,Summer 2013,weekday
19.1,22,22-CHICON,Local,Fall 2013,weekday
18.8,22,22-CHICON,Local,Spring 2014,weekday
16.8,22,22-CHICON,Local,Summer 2014,weekday
16.9,22,22-CHICON,Local,Fall 2014,weekday
15.1,22,22-CHICON,Local,Spring 2015,weekday
14.3,22,22-CHICON,Local,Summer 2015,weekday
20.6,30,30-BARTON CREEK SQ,Local,Spring 2012,weekday
22.8,30,30-BARTON CREEK SQ,Local,Summer 2012,weekday
21.3,30,30-BARTON CREEK SQ,Local,Fall 2012,weekday
19.9,30,30-BARTON CREEK SQ,Local,Spring 2013,weekday
23.5,30,30-BARTON CREEK SQ,Local,Summer 2013,weekday
20.7,30,30-BARTON CREEK SQ,Local,Fall 2013,weekday
20.4,30,30-BARTON CREEK SQ,Local,Spring 2014,weekday
21.7,30,30-BARTON CREEK SQ,Local,Summer 2014,weekday
19.4,30,30-BARTON CREEK SQ,Local,Fall 2014,weekday
18.2,30,30-BARTON CREEK SQ,Local,Spring 2015,weekday
21.1,30,30-BARTON CREEK SQ,Local,Summer 2015,weekday
26.4,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2012,weekday
26.0,37,37-COLONY PARK/WINDSOR PARK,Local,Summer 2012,weekday
29.1,37,37-COLONY PARK/WINDSOR PARK,Local,Fall 2012,weekday
29.5,37,37-COLONY PARK/WINDSOR PARK,Local,Spring 2013,weekday
